state,year,week,cases_accum
Jalisco,2013,17,1.0
México,2013,17,1.0
Michoacán,2013,17,35.0
Morelos,2013,17,3.0
Nayarit,2013,17,0.0
Nuevo León,2013,17,10.0
Oaxaca,2013,17,0.0
Puebla,2013,17,0.0
Querétaro,2013,17,0.0
Quintana Roo,2013,17,0.0
San Luis Potosí,2013,17,0.0
Sinaloa,2013,17,10.0
Sonora,2013,17,31.0
Tabasco,2013,17,0.0
Tamaulipas,2013,17,0.0
Tlaxcala,2013,17,0.0
Veracruz,2013,17,0.0
Yucatán,2013,17,0.0
Zacatecas,2013,17,1.0
Aguascalientes,2013,18,0.0
Baja California,2013,18,238.0
Baja California Sur,2013,18,31.0
Campeche,2013,18,1.0
Coahuila,2013,18,112.0
Colima,2013,18,0.0
Chiapas,2013,18,0.0
Chihuahua,2013,18,2.0
Distrito Federal,2013,18,0.0
Durango,2013,18,0.0
Guanajuato,2013,18,2.0
Guerrero,2013,18,5.0
Hidalgo,2013,18,0.0
Jalisco,2013,18,1.0
México,2013,18,1.0
Michoacán,2013,18,35.0
Morelos,2013,18,3.0
Nayarit,2013,18,0.0
Nuevo León,2013,18,10.0
Oaxaca,2013,18,0.0
Puebla,2013,18,0.0
Querétaro,2013,18,0.0
Quintana Roo,2013,18,0.0
San Luis Potosí,2013,18,0.0
Sinaloa,2013,18,10.0
Sonora,2013,18,31.0
Tabasco,2013,18,0.0
Tamaulipas,2013,18,0.0
Tlaxcala,2013,18,0.0
Veracruz,2013,18,0.0
Yucatán,2013,18,0.0
Zacatecas,2013,18,1.0
Aguascalientes,2013,19,0.0
Baja California,2013,19,243.0
Baja California Sur,2013,19,32.0
Campeche,2013,19,2.0
Coahuila,2013,19,118.0
Colima,2013,19,0.0
Chiapas,2013,19,0.0
Chihuahua,2013,19,2.0
Distrito Federal,2013,19,0.0
Durango,2013,19,0.0
Guanajuato,2013,19,3.0
Guerrero,2013,19,5.0
Hidalgo,2013,19,0.0
Jalisco,2013,19,1.0
México,2013,19,1.0
Michoacán,2013,19,37.0
Morelos,2013,19,3.0
Nayarit,2013,19,0.0
Nuevo León,2013,19,10.0
Oaxaca,2013,19,0.0
Puebla,2013,19,0.0
Querétaro,2013,19,0.0
Quintana Roo,2013,19,0.0
San Luis Potosí,2013,19,0.0
Sinaloa,2013,19,10.0
Sonora,2013,19,31.0
Tabasco,2013,19,0.0
Tamaulipas,2013,19,0.0
Tlaxcala,2013,19,0.0
Veracruz,2013,19,0.0
Yucatán,2013,19,0.0
Zacatecas,2013,19,1.0
Aguascalientes,2013,20,0.0
Baja California,2013,20,254.0
Baja California Sur,2013,20,32.0
Campeche,2013,20,2.0
Coahuila,2013,20,123.0
Colima,2013,20,0.0
Chiapas,2013,20,0.0
Chihuahua,2013,20,2.0
Distrito Federal,2013,20,0.0
Durango,2013,20,0.0
Guanajuato,2013,20,3.0
Guerrero,2013,20,5.0
Hidalgo,2013,20,0.0
Jalisco,2013,20,1.0
México,2013,20,1.0
Michoacán,2013,20,37.0
Morelos,2013,20,3.0
Nayarit,2013,20,0.0
Nuevo León,2013,20,10.0
Oaxaca,2013,20,0.0
Puebla,2013,20,0.0
Querétaro,2013,20,0.0
Quintana Roo,2013,20,0.0
San Luis Potosí,2013,20,0.0
Sinaloa,2013,20,10.0
Sonora,2013,20,31.0
Tabasco,2013,20,0.0
Tamaulipas,2013,20,0.0
Tlaxcala,2013,20,0.0
Veracruz,2013,20,0.0
Yucatán,2013,20,0.0
Zacatecas,2013,20,1.0
Aguascalientes,2013,21,0.0
Baja California,2013,21,273.0
Baja California Sur,2013,21,32.0
Campeche,2013,21,2.0
Coahuila,2013,21,127.0
Colima,2013,21,0.0
Chiapas,2013,21,0.0
Chihuahua,2013,21,2.0
Distrito Federal,2013,21,0.0
Durango,2013,21,0.0
Guanajuato,2013,21,3.0
Guerrero,2013,21,5.0
Hidalgo,2013,21,0.0
Jalisco,2013,21,1.0
México,2013,21,1.0
Michoacán,2013,21,37.0
Morelos,2013,21,3.0
Nayarit,2013,21,0.0
Nuevo León,2013,21,10.0
Oaxaca,2013,21,0.0
Puebla,2013,21,0.0
Querétaro,2013,21,0.0
Quintana Roo,2013,21,0.0
San Luis Potosí,2013,21,0.0
Sinaloa,2013,21,10.0
Sonora,2013,21,31.0
Tabasco,2013,21,0.0
Tamaulipas,2013,21,0.0
Tlaxcala,2013,21,0.0
Veracruz,2013,21,0.0
Yucatán,2013,21,0.0
Zacatecas,2013,21,1.0
Aguascalientes,2013,22,0.0
Baja California,2013,22,290.0
Baja California Sur,2013,22,32.0
Campeche,2013,22,2.0
Coahuila,2013,22,132.0
Colima,2013,22,0.0
Chiapas,2013,22,0.0
Chihuahua,2013,22,2.0
Distrito Federal,2013,22,0.0
Durango,2013,22,0.0
Guanajuato,2013,22,3.0
Guerrero,2013,22,5.0
Hidalgo,2013,22,0.0
Jalisco,2013,22,1.0
México,2013,22,1.0
