estado,1,2,3,sem,m_acum,f_acum,acum,semana,year,8,9
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
TOTAL,21.0,6.0,15.0,1.0,0.0,0.0,0.0,02,2015,1.0,
Aguascalientes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Baja California,1.0,2.0,1.0,0.0,1.0,0.0,1.0,03,2015,4.0,
Baja California Sur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,1.0,
Campeche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Coahuila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Colima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Chiapas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Guerrero,2.0,1.0,1.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Jalisco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Michoacán,0.0,0.0,2.0,1.0,0.0,0.0,0.0,03,2015,0.0,
Morelos,0.0,1.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Nayarit,0.0,0.0,1.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Nuevo León,1.0,1.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Oaxaca,2.0,1.0,1.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Puebla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Sinaloa,14.0,5.0,22.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Sonora,0.0,0.0,1.0,2.0,5.0,2.0,3.0,03,2015,0.0,
Tabasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Tamaulipas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,03,2015,0.0,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Veracruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
Yucatán,0.0,1.0,0.0,1.0,0.0,0.0,0.0,03,2015,0.0,
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2015,0.0,
TOTAL,20.0,12.0,30.0,5.0,6.0,2.0,4.0,03,2015,5.0,
Aguascalientes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Baja California,1.0,3.0,1.0,1.0,0.0,0.0,1.0,04,2015,6.0,
Baja California Sur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2015,1.0,
Campeche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Coahuila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2015,1.0,
Colima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Chiapas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Guerrero,0.0,1.0,1.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Jalisco,2.0,1.0,1.0,0.0,0.0,0.0,0.0,04,2015,0.0,
México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Michoacán,1.0,0.0,3.0,1.0,0.0,0.0,0.0,04,2015,0.0,
Morelos,4.0,2.0,3.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Nayarit,0.0,0.0,1.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Nuevo León,0.0,1.0,0.0,0.0,0.0,0.0,0.0,04,2015,2.0,
Oaxaca,0.0,1.0,1.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Puebla,0.0,0.0,0.0,3.0,0.0,0.0,0.0,04,2015,0.0,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Sinaloa,22.0,10.0,39.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Sonora,0.0,0.0,1.0,3.0,0.0,2.0,3.0,04,2015,0.0,
Tabasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Tamaulipas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,04,2015,0.0,
